,Order Id,AWB Number,Item Price(Per Qty.),Order Qty,Total weight as per X (KG),Weight (g),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Zone,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),correct values,undercharged,overcharged
0,2001806232,1091117222124,2139,8,1.302,377,1.5,1.3,1.5,D,D,135.0,140.0,-5.0,0,5.0,0.0
1,2001806273,1091117222194,1684,4,0.615,615,1.0,1.0,1.5,D,D,90.19999999999999,101.2,-11.000000000000014,0,11.000000000000014,0.0
2,2001806408,1091117222931,10797,12,2.265,929,2.5,2.5,3.0,D,D,224.6,224.6,0.0,1,0.0,0.0
3,2001806458,1091117223244,1491,2,0.7,700,1.0,1.0,1.5,B,B,61.3,61.3,0.0,1,0.0,0.0
4,2001807012,1091117229345,603,1,0.24,240,0.5,0.15,0.5,D,D,45.4,45.4,0.0,1,0.0,0.0
5,2001806686,1091117229555,603,1,0.24,240,0.5,0.15,0.5,D,D,45.4,45.4,0.0,1,0.0,0.0
6,2001806885,1091117229776,3840,4,0.84,420,1.0,1.0,1.5,B,B,61.3,61.3,0.0,1,0.0,0.0
7,2001807058,1091117323112,2669,6,1.168,1168,1.5,1.15,1.5,B,B,89.6,89.6,0.0,1,0.0,0.0
8,2001807186,1091117323812,1082,3,0.5,500,0.5,0.5,0.5,D,D,45.4,45.4,0.0,1,0.0,0.0
9,2001807290,1091117324206,1082,3,0.5,500,0.5,0.5,0.5,D,D,45.4,45.4,0.0,1,0.0,0.0
10,2001807814,1091117326612,1399,3,0.607,607,1.0,0.79,1.0,B,B,61.3,61.3,0.0,1,0.0,0.0
11,2001807931,1091117327172,1399,3,0.607,607,1.0,0.72,1.0,D,D,90.19999999999999,97.2,-7.000000000000014,0,7.000000000000014,0.0
12,2001807956,1091117327275,1526,5,1.08,790,1.5,1.08,1.5,B,B,89.6,89.6,0.0,1,0.0,0.0
13,2001807960,1091117327312,1447,4,0.9299999999999999,930,1.0,1.0,1.5,D,D,90.19999999999999,90.2,-1.4210854715202004e-14,0,1.4210854715202004e-14,0.0
14,2001807930,1091117327695,603,1,0.24,240,0.5,0.15,0.5,D,D,45.4,45.4,0.0,1,0.0,0.0
15,2001808102,1091117435005,6892,9,1.157,821,1.5,1.28,1.5,D,D,135.0,135.0,0.0,1,0.0,0.0
16,2001808118,1091117435134,2302,3,0.343,343,0.5,0.5,0.5,B,B,33.0,33.0,0.0,1,0.0,0.0
17,2001808207,1091117435370,1399,3,0.607,607,1.0,0.79,1.0,D,D,90.19999999999999,90.2,-1.4210854715202004e-14,0,1.4210854715202004e-14,0.0
18,2001808295,1091117435661,1486,2,0.245,245,0.5,0.2,0.5,E,E,107.30000000000001,127.3,-19.999999999999986,0,19.999999999999986,0.0
19,2001808507,1091117436383,1399,3,0.607,607,1.0,0.79,1.0,B,B,61.3,61.3,0.0,1,0.0,0.0
20,2001808542,1091117436464,1671,4,0.734,367,1.0,0.86,1.0,D,D,90.19999999999999,101.2,-11.000000000000014,0,11.000000000000014,0.0
21,2001808675,1091117437050,3545,6,1.183,1183,1.5,1.2,1.5,B,B,89.6,89.6,0.0,1,0.0,0.0
22,2001807976,1091117327496,2098,4,0.721,721,1.0,0.7,1.0,D,D,180.29999999999998,172.8,7.499999999999972,0,0.0,7.499999999999972
23,2001812838,1091118547832,2643,5,0.558,222,1.0,0.6,1.0,B,B,102.3,108.3,-6.0,0,6.0,0.0
24,2001816684,1091119398844,3579,8,0.9199999999999999,340,1.0,0.99,1.0,D,D,180.29999999999998,172.8,7.499999999999972,0,0.0,7.499999999999972
25,2001817160,1091119630264,1491,2,0.7,700,1.0,0.7,1.0,D,D,180.29999999999998,181.8,-1.5000000000000284,0,1.5000000000000284,0.0
